Index,Date,Open,High,Low,Close*,Adj,Close**
NIKKEI,01/04/2019,21500.89,22362.92,21471.12,22258.73,22258.73,
NIKKEI,01/03/2019,21490.02,21860.39,20911.57,21205.81,21205.81,
NIKKEI,01/02/2019,20797.03,21610.88,20315.31,21385.16,21385.16,
NIKKEI,01/01/2019,19655.13,20892.68,19241.37,20773.49,20773.49,
NIKKEI,01/12/2018,22629.39,22698.79,18948.58,20014.77,20014.77,
NIKKEI,01/11/2018,21906.41,22583.43,21243.38,22351.06,22351.06,
NIKKEI,01/10/2018,24173.37,24448.07,20971.93,21920.46,21920.46,
NIKKEI,01/09/2018,22819.17,24286.1,22172.9,24120.04,24120.04,
NIKKEI,01/08/2018,22642.18,23032.17,21851.32,22865.15,22865.15,
NIKKEI,01/07/2018,22233.8,22949.32,21462.95,22553.72,22553.72,
NIKKEI,01/06/2018,22126.25,23011.57,22038.4,22304.51,22304.51,
NIKKEI,01/05/2018,22453.42,23050.39,21931.65,22201.82,22201.82,
NIKKEI,01/04/2018,21441.57,22495.56,21056.02,22467.87,22467.87,
NIKKEI,01/03/2018,21901.13,21971.16,20347.49,21454.3,21454.3,
NIKKEI,01/02/2018,23276.1,23492.77,20950.15,22068.24,22068.24,
NIKKEI,01/01/2018,23073.73,24129.34,23065.2,23098.29,23098.29,
NIKKEI,01/12/2017,22916.93,22994.33,22119.21,22764.94,22764.94,
NIKKEI,01/11/2017,22144.92,23382.15,21972.34,22724.96,22724.96,
NIKKEI,01/10/2017,20400.51,22086.88,20363.28,22011.61,22011.61,
NIKKEI,01/09/2017,19733.57,20481.27,19239.52,20356.28,20356.28,
NIKKEI,01/08/2017,19907.08,20318.11,16111.81,19646.24,19646.24,
NIKKEI,01/07/2017,20056.32,20200.88,19856.65,19925.18,19925.18,
NIKKEI,01/06/2017,19692.16,20318.11,19686.32,20033.43,20033.43,
NIKKEI,01/05/2017,19154.03,19998.49,19144.62,19650.57,19650.57,
NIKKEI,01/04/2017,18988,19289.43,18224.68,19196.74,19196.74,
NIKKEI,01/03/2017,19226.94,19668.01,18909.26,18909.26,18909.26,
NIKKEI,01/02/2017,18926.97,19519.44,18805.32,19118.99,19118.99,
NIKKEI,01/01/2017,19298.68,19615.4,18650.33,19041.34,19041.34,
NIKKEI,01/12/2016,18535.24,19592.9,18227.39,19114.37,19114.37,
NIKKEI,01/11/2016,17380.54,18482.94,16111.81,18308.48,18308.48,
NIKKEI,01/10/2016,16566.03,17461.03,16554.83,17425.02,17425.02,
NIKKEI,01/09/2016,16885.16,17156.36,16285.41,16449.84,16449.84,
NIKKEI,01/08/2016,16415.31,16943.67,15921.04,16887.4,16887.4,
NIKKEI,01/07/2016,15698.02,16938.96,15106.52,16569.27,16569.27,
NIKKEI,01/06/2016,17097.22,17145.95,14864.01,15575.92,15575.92,
NIKKEI,01/05/2016,16357.1,17251.36,15975.47,17234.98,17234.98,
NIKKEI,01/04/2016,16719.56,17613.56,15471.8,16666.05,16666.05,
NIKKEI,01/03/2016,16013,17291.35,15857.37,16758.67,16758.67,
NIKKEI,01/02/2016,17699.6,17905.37,14865.77,16026.76,16026.76,
NIKKEI,01/01/2016,18818.58,18951.12,16017.26,17518.3,17518.3,
NIKKEI,01/12/2015,19799.08,20012.4,18562.51,19033.71,19033.71,
NIKKEI,01/11/2015,18827.11,19994.05,18641.22,19747.47,19747.47,
NIKKEI,01/10/2015,17479.97,19202.34,17389.57,19083.1,19083.1,
